# Sources: GUM, OntoNotes
Mr.	2070
Col.	110
junk	63
Ms.	59
President	59
new	49
suppressor	43
U.S.	43
old	43
Lt.	43
Mrs.	41
Dr.	32
Chairman	32
stock	29
intoxicated	27
latest	26
Capt.	22
Sen.	21
p53	21
World	20
last	18
pockmarked	17
young	16
Roth	16
syn	16
yield	15
Tony	15
Gen.	15
tax	14
David	14
current	14
Rep.	13
Last	13
shaky	13
name	13
Kabul	13
Japanese	12
bond	12
NSC	12
cancer	12
administration	11
metropolitan	11
coupon	11
obscure	11
post-Oct	10
trade	10
Bob	10
George	10
$	10
weakened	10
gains	9
pachinko	9
Graham	9
abortion	8
same	8
identified	8
suppressing	8
ship	8
Messrs.	8
Democrat	7
whole	7
Thatcher	7
panicky	7
finance	6
making	6
TV	6
first	6
vacationing	6
British	6
York	6
Senate	6
liability	6
Gov.	6
fragile	6
Fed	5
Oliver	5
own	5
private	5
Labor	5
Mr	5
Young	5
House	5
African	5
previous	5
Ronald	5
Bush	5
temporary	5
reduction	5
Speaker	5
oriented	4
priority	4
anti-abortion	4
office	4
underlying	4
derivative	4
official	4
Israel	4
ruling	4
ad	4
younger	4
day	4
action	4
owned	4
Packard	4
John	4
Court	4
guerrilla	4
ANC	4
Toy	4
financial	4
48	4
altered	4
Phillips	4
controlling	4
restored	4
loquacious	4
individual	4
1990	4
German	4
wide	3
magazine	3
foreign	3
Rome	3
psyllium	3
core	3
appropriations	3
American	3
central	3
government	3
securities	3
U.K.	3
vice	3
burdensome	3
local	3
Friday	3
publishing	3
weeklong	3
Great	3
place	3
General	3
Republican	3
Staar	3
past	3
Analytical	3
Dellums	3
Nikkei	3
Polish	3
largest	3
Benson	3
Judge	3
RICO	3
management	3
based	3
federal	3
Joseph	3
Mexican	3
stopgap	3
Dorrance	3
prior	3
Treasury	3
account	3
shocked	3
HDTV	3
metro	3
recent	3
executive	2
court	2
Guadalajara	2
southern	2
prepaid	2
December	2
ice	2
Armenian	2
Western	2
French	2
weak	2
Webster	2
stress	2
GE	2
expected	2
leader	2
member	2
Italian	2
brands	2
output	2
Sens.	2
ago	2
City	2
arms	2
X	2
complex	2
Kraft	2
stricken	2
rival	2
Stone	2
Sony	2
IRS	2
exchange	2
next	2
retinoblastoma	2
Vicar	2
moderate	2
older	2
Dingell	2
South	2
underwriter	2
Warsaw	2
damaged	2
supervised	2
assassination	2
East	2
control	2
sitting	2
market	2
hemoglobin	2
point	2
claimed	2
Oct.	2
exact	2
earnings	2
Ashtabula	2
fickle	2
Ted	2
district	2
Leader	2
hepatitis	2
reset	2
restructuring	2
Baltimore	2
entire	2
rights	2
large	2
senior	2
punitive	2
disciplined	2
divided	2
Peasant	2
investment	2
rising	2
small	2
eye	2
meddling	2
worded	2
notification	2
called	2
49	2
changing	2
Ron	2
Iran	2
requested	2
clean	2
emergency	2
joint	2
Security	2
modeled	2
beaming	2
hotel	2
retail	2
cigarette	2
independent	2
key	2
Francisco	2
penny	2
gene	2
Hastings	2
failed	2
volatile	2
RTC	2
palladium	2
world	1
antitrust	1
inefficient	1
actual	1
year	1
tech	1
tragic	1
NU	1
quota	1
silver	1
Nagymaros	1
note	1
liberated	1
prosperous	1
biggest	1
engaging	1
superpower	1
consent	1
neighboring	1
simple	1
watch	1
Geneva	1
Tampa	1
Burroughs	1
personal	1
high	1
aging	1
Communications	1
Firm	1
refunding	1
58	1
manufacturing	1
Missile	1
Georgia	1
Unity	1
internal	1
pay	1
diversified	1
store	1
white	1
resulting	1
ferroelectric	1
exporter	1
Guinness	1
highest	1
penalty	1
base	1
end	1
Meredith	1
clinic	1
sleepy	1
defective	1
35	1
parent	1
Disabled	1
tanker	1
technical	1
Workers	1
quarter	1
foot	1
vast	1
holding	1
borrowed	1
CBS	1
aid	1
improving	1
Miss	1
Visa	1
scientific	1
similar	1
Pacific	1
IL	1
economic	1
anonymous	1
unlovable	1
used	1
Sverdlovsk	1
embattled	1
controlled	1
tobacco	1
matching	1
daily	1
revised	1
D.C.	1
overall	1
seat	1
Irish	1
bank	1
Israeli	1
strapped	1
Banco	1
aircraft	1
Secretary	1
Pepsi	1
Recruit	1
beauty	1
Sam	1
unfashionable	1
relocation	1
Abbie	1
p.m.	1
widespread	1
additional	1
industrial	1
municipal	1
like	1
thrift	1
anthrax	1
adjusted	1
Olivetti	1
Robert	1
fusion	1
edible	1
released	1
CP486	1
MCA	1
basic	1
veteran	1
acre	1
neutral	1
dominated	1
Campeau	1
%	1
fledgling	1
Kong	1
leading	1
Pictures	1
trafficking	1
Bonn	1
computer	1
GNP	1
golf	1
law	1
bailout	1
second	1
third	1
Washington	1
Express	1
equity	1
Wedtech	1
total	1
Bill	1
funding	1
conservative	1
legal	1
1986	1
yuppie	1
TW	1
lost	1
man	1
lawyer	1
Communist	1
coup	1
modest	1
Milan	1
Feb.	1
dictator	1
Brady	1
North	1
rare	1
52	1
mushroom	1
Manville	1
LDC	1
Land	1
venerable	1
prototype	1
Canadian	1
Unknown	1
Norm	1
cosmetics	1
longtime	1
