人	person	person	3840
问题	object	object	1562
政府	organization	organization	1530
经济	abstract	abstract	1463
国家	place	gpe	1460
总统	person	person	1300
国	place	gpe	1119
国际	place	place	1052
公司	organization	organization	1050
企业	organization	organization	1028
记者	person	person	999
时候	time	time	885
世界	place	place	848
工作	abstract	abstract	807
地区	place	place	774
关系	abstract	abstract	763
方面	abstract	abstract	760
社会	place	place	744
时间	time	time	718
人民	person	person	707
发展	abstract	abstract	701
市场	place	place	615
情况	event	event	592
钱	quantity	money	574
技术	abstract	abstract	558
事	event	event	555
政治	abstract	abstract	552
投资	event	event	551
地方	place	place	520
报道	event	event	517
大陆	place	place	499
新闻	object	object	499
银行	organization	organization	490
会议	event	event	469
其中	abstract	abstract	464
月	time	time	461
贸易	event	event	454
中心	place	place	451
东西	object	product	447
人员	person	person	446
组织	organization	organization	440
地震	event	event	437
政策	abstract	abstract	429
项目	event	event	419
事件	event	event	417
生活	abstract	abstract	417
合作	event	event	411
活动	event	event	408
家	place	place	402
官员	person	person	402
孩子	person	person	401
事情	event	event	391
国内	place	place	389
历史	abstract	abstract	385
警方	organization	organization	384
城市	place	place	376
电	substance	substance	372
人们	person	person	367
电话	object	product	367
大学	organization	organization	352
方式	abstract	abstract	351
冲突	event	event	347
学校	organization	organization	342
文化	abstract	abstract	340
岸	place	place	334
和平	abstract	abstract	325
产品	object	product	322
战争	event	event	320
人士	person	person	318
管理	abstract	abstract	318
总理	person	person	316
金融	abstract	abstract	313
外资	abstract	abstract	310
建设	abstract	work_of_art	307
系统	object	product	306
民众	person	person	301
工程	event	event	298
消息	abstract	abstract	298
机构	organization	organization	295
信息	abstract	abstract	294
媒体	organization	organization	290
改革	event	event	286
计划	abstract	abstract	286
安全	abstract	abstract	285
主席	person	person	283
环境	abstract	abstract	283
选举	event	event	283
交通	abstract	abstract	281
民族	person	person	281
中央	organization	organization	280
出口	abstract	abstract	279
科技	abstract	abstract	279
研究	abstract	abstract	278
协议	object	object	275
影响	abstract	abstract	275
能力	abstract	abstract	275
产业	abstract	abstract	273
会谈	event	event	273
原因	abstract	abstract	273
地	place	place	271
调查	event	event	270
领导人	person	person	269
话	abstract	abstract	267
先生	person	person	265
小时	time	time	265
结果	abstract	abstract	265
外交	event	event	262
ｐｗ	substance	substance	260
部门	organization	organization	258
基础	abstract	abstract	257
精神	abstract	abstract	255
代表	person	person	251
工业	abstract	abstract	251
集团	organization	organization	251
朋友	person	person	249
开发	event	event	248
机会	abstract	abstract	248
教育	abstract	abstract	247
行动	event	event	247
音	substance	substance	241
内容	object	product	241
法律	object	law	241
星期	time	time	238
委员会	organization	organization	238
生命	substance	substance	236
部长	person	person	235
学生	person	person	234
过程	abstract	abstract	234
生产	abstract	abstract	233
机场	object	product	229
台商	person	person	227
省	place	place	226
个人	person	person	225
节目	object	product	222
专家	person	person	221
人权	abstract	abstract	219
当地	place	place	219
资金	quantity	money	219
谈判	event	event	215
世纪	time	time	213
之一	abstract	abstract	212
作用	abstract	abstract	211
外	abstract	abstract	210
条件	abstract	abstract	209
电视	object	product	208
市	place	city	207
规模	abstract	abstract	207
党	organization	organization	205
外商	person	person	205
时代	time	time	203
领域	abstract	abstract	202
报告	object	product	200
现场	place	place	200
设施	object	product	199
全球	place	gpe	198
父母	person	person	198
网络	object	product	197
服务	abstract	abstract	195
期间	time	time	195
知识	abstract	work_of_art	195
暴力	abstract	abstract	194
法院	place	place	193
书	object	product	192
里面	place	place	192
部队	organization	organization	191
电视台	place	place	189
利益	abstract	abstract	188
电子	substance	substance	188
增长	abstract	abstract	187
父亲	person	person	187
意义	abstract	abstract	184
措施	abstract	abstract	183
汽车	object	product	182
资源	substance	substance	182
人口	person	person	181
信	object	product	178
单位	organization	organization	178
经验	abstract	abstract	178
行为	abstract	abstract	178
部分	abstract	abstract	178
道路	object	product	178
水平	abstract	abstract	176
艺术	abstract	work_of_art	176
车	object	product	175
力量	abstract	abstract	172
军事	abstract	abstract	171
制度	object	law	169
教授	person	person	169
目标	object	object	169
家庭	abstract	abstract	168
办法	abstract	abstract	167
危机	event	event	167
新华社	organization	organization	166
老师	person	person	165
军队	organization	organization	163
开放	abstract	abstract	163
中国人	person	person	162
责任	abstract	abstract	161
协会	organization	organization	160
可能	abstract	abstract	160
居民	person	person	158
公路	object	product	157
