ROOT	root	abstract	14
ⲃⲱⲕ	nmod	place	6
ⲟ	nmod	abstract	4
ⲱⲗ	dobj	abstract	4
ⲫⲟⲣⲉⲓ	dobj	object	4
ϫⲱ	nmod	abstract	4
ϫⲓⲛϭⲟⲛⲥ	nmod	abstract	3
ϣⲟⲟⲡ	nsubj	abstract	3
ⲧⲁⲓ	nsubj	abstract	3
ⲙⲛ	nsubj	person	3
ROOT	root	object	3
ROOT	root	person	3
ϫⲟⲟ	nmod	abstract	3
ⲃⲱⲕ	nmod	time	3
ⲡⲛⲉⲩⲙⲁ	nmod	abstract	3
ϩⲧⲟ	conj	animal	3
ⲉⲓ	dislocated	person	3
ⲟⲩ	nmod	abstract	3
ϫⲓ	nmod	abstract	3
ⲏⲓ	nmod	person	3
ϫⲱ	dobj	abstract	2
ϫⲓ	nsubj	person	2
ⲡ	nmod	person	2
ⲧⲱⲣⲡ	nmod	abstract	2
ϫⲱⲕⲙ	nmod	place	2
ⲉⲓⲱⲧ	appos	person	2
ⲧⲛⲧⲱⲛ	nmod	abstract	2
ⲙⲛⲧϩⲙϩⲁⲗ	nmod	object	2
ⲛⲏⲩ	nmod	abstract	2
ϣⲟⲟⲡ	nmod	abstract	2
ⲙⲁ	nmod	place	2
ϩⲙⲟⲟⲥ	nmod	place	2
ϭⲙϭⲟⲙ	nsubj	person	2
ⲟⲩⲛⲧⲁ	nsubj	abstract	2
ⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ	nmod	person	2
ⲛⲟϭ	nmod	event	2
ⲣⲁⲛ	nmod	person	2
ⲕⲁ	dobj	person	2
ϣⲏⲣⲉ	nmod	person	2
ϩⲙϩⲁⲗ	nmod	person	2
ϣⲓⲡⲉ	nmod	abstract	2
ϥⲓ	dobj	object	2
ⲙⲁ	nmod	abstract	2
ϫⲓ	dobj	abstract	2
ⲛⲁ	nmod	place	2
ⲕⲱⲧⲉ	nmod	abstract	2
ⲛⲟϭ	nmod	abstract	2
ⲛⲁⲩ	nmod	time	2
ⲧⲁⲁ	nmod	object	2
ⲛⲁ	nmod	person	2
ⲧⲓⲙⲏ	nmod	object	2
ⲃⲱⲕ	nmod	person	2
ⲫⲟⲣⲉⲓ	dislocated	person	2
ⲙⲟⲟϣⲉ	nmod	abstract	2
ⲭⲏⲣⲁ	conj	person	2
ⲥⲟⲣ	advmod	abstract	2
ϫⲟⲟ	dislocated	person	2
ⲉⲟⲟⲩ	nmod	person	2
ⲁϣ	nmod	abstract	2
ⲡⲏⲧ	nmod	place	2
ϣⲁϫⲉ	nmod	person	2
ⲛⲁⲩ	advcl	object	2
ϫⲛⲉ	dobj	person	2
ⲟⲩ	appos	abstract	2
ϩⲱⲃ	nmod	abstract	2
ⲛⲧ	nmod	place	2
ϯⲥⲃⲱ	nmod	time	2
ⲛⲟϫ	nmod	person	2
ⲕⲁ	nmod	object	1
ϫⲱⲱⲙⲉ	nmod	abstract	1
ⲛⲁⲩ	nmod	person	1
ⲉⲃⲟⲗ	nmod	abstract	1
ⲧⲁⲁ	nmod	abstract	1
ⲟⲩⲉϩⲥⲁϩⲛⲉ	dislocated	object	1
ⲥⲉⲩϩ	dobj	abstract	1
ⲣ	nmod	time	1
ⲡⲱⲛⲅ	dislocated	abstract	1
ⲥⲟⲟⲩⲧⲛ	nmod	abstract	1
ϫⲓⲧ	advmod	time	1
ⲁϣϣⲕⲁⲕ	nmod	abstract	1
ⲩⲛ	nmod	organization	1
ⲟⲩ	nsubj	abstract	1
ⲡⲉⲓⲣⲁⲍⲉ	nsubj	person	1
ⲟⲩⲱϣⲃ	dislocated	person	1
ⲑⲗⲓⲯⲓⲥ	nmod	abstract	1
ⲧⲁϫⲣⲟ	nmod	abstract	1
ⲕⲉⲧ	dobj	place	1
ϩⲱⲛ	dislocated	abstract	1
ϣϣⲉ	nmod	person	1
ⲉⲓⲱⲧ	nmod	abstract	1
ⲕⲟⲟⲩⲉ	remnant	abstract	1
ⲡ	appos	person	1
ⲯⲩⲭⲏ	nmod	person	1
ⲧⲁⲩⲟ	dobj	abstract	1
ϥⲱ	nmod	animal	1
ϥⲓ	dobj	animal	1
ϩⲓⲏ	nmod	person	1
ϣⲓⲛⲉ	nmod	place	1
ⲣⲙⲛⲧⲣⲉ	nsubj	abstract	1
ⲉϣⲗⲟⲩⲗⲁⲓ	nmod	abstract	1
ϭⲓϫ	nmod	abstract	1
ϣⲓⲧⲉ	nmod	abstract	1
ϩⲉ	nmod	organization	1
ϣⲁϫⲉ	ccomp	abstract	1
ⲁⲡⲟⲧⲁⲥⲥⲉ	dobj	abstract	1
ⲕⲏⲣⲩⲥⲥⲉ	dobj	event	1
ⲱϣ	nmod	abstract	1
ⲛⲁ	nsubj	abstract	1
ⲙⲉⲉⲩⲉ	nmod	time	1
ⲃⲱⲕ	dislocated	person	1
ⲥⲉⲗⲓⲥ	nmod	object	1
ⲣⲱϣⲉ	nsubj	person	1
ⲡⲏⲧ	nmod	person	1
ϣⲁϫⲉ	nmod	time	1
ⲱⲇⲏ	nmod	place	1
ⲧϩⲛⲉⲣⲱⲙⲉ	nsubj	abstract	1
ⲙⲉϣⲧ	dobj	place	1
ⲁϩⲣⲟ	vocative	person	1
ⲛⲟϫ	nmod	object	1
ⲡⲁⲣⲁⲓⲧⲉⲓ	dislocated	abstract	1
ⲧⲱⲙ	nmod	abstract	1
ⲣ	advcl	person	1
ⲕⲟⲛⲥ	nmod	place	1
ⲕⲱⲧⲉ	nsubj	abstract	1
ⲁⲛⲟⲕ	nsubj	person	1
ϫⲟⲟⲩ	nsubj	person	1
ⲣⲉϥϯ	nmod	object	1
ⲙⲟⲩⲣ	dobj	abstract	1
